fragment_id,frame_index,atom_index,pt_min_distance,pt_classification
934,3,51021,2.454933601538696,111 facet
958,3,52317,2.5685202363695443,edge
62,4,3942,2.2205539833942947,100 facet
84,4,5150,2.7709339515743525,edge
140,4,8161,2.254712827885621,edge
154,4,8899,2.5844932979863326,edge
189,4,10782,2.520926447104077,100 facet
226,4,12793,2.272604941716476,100 facet
234,4,13222,2.52697588766404,100 facet
279,4,15680,2.308286396689946,111 facet
304,4,17001,2.4413224070546837,100 facet
306,4,17108,2.4792393816005767,edge
371,4,20611,2.9350607440256926,edge
390,4,21639,2.443350659253136,100 facet
393,4,21834,2.4369079902677253,100 facet
411,4,22782,2.5810612207100783,vertex
414,4,22941,2.5066515235022138,edge
432,4,23911,2.5505182733947205,100 facet
542,4,29845,2.581502826197782,100 facet
570,4,31367,2.608669908251088,edge
657,4,36062,2.61979286835896,vertex
668,4,36656,2.499749505732421,100 facet
695,4,38107,2.521566814038089,100 facet
746,4,40866,2.4805936485910265,111 facet
756,4,41403,2.493944750792328,100 facet
760,4,41618,2.565728917020167,edge
864,4,47260,2.516572356205648,edge
879,4,48053,2.5191624562192296,111 facet
885,4,48372,2.612449013812429,vertex
905,4,49448,2.758758289159723,edge
934,4,51021,2.4723229972124576,111 facet
958,4,52317,2.489501143984655,edge
62,5,3943,2.222607100948768,100 facet
84,5,5140,2.224882659286411,100 facet
140,5,8155,2.149061835089155,edge
154,5,8900,2.5185545227992625,edge
184,5,10520,2.5677263016085896,vertex
189,5,10783,2.391746897661081,100 facet
226,5,12794,2.2526239995325086,100 facet
234,5,13236,2.163951185204096,100 facet
279,5,15680,2.0034582747843697,111 facet
304,5,17010,2.117629515985601,100 facet
306,5,17124,2.222061638520152,100 facet
319,5,17806,2.267653923945113,edge
342,5,19055,2.3630581790950047,100 facet
371,5,20610,2.8175315070493374,edge
390,5,21639,2.4860438411626,100 facet
393,5,21835,2.150132426577466,100 facet
411,5,22787,2.236291288482806,vertex
414,5,22957,2.2385790959767498,edge
